hour,action,starting_storage_mwh,ending_storage_mwh,da_lmp,rt_lmp,tmnsr_price,strike_price,closeout_charge,net_tmnsr_price,energy_revenue,tmnsr_revenue,hourly_revenue
1,PUMP,0.0,750.0,48.19,60.59,11.33,62.6,-2.009999999999998,13.339999999999998,-48190.0,0.0,-48190.0
2,PUMP,750.0,1500.0,44.94,94.02,9.25,59.55,34.47,0.0,-44940.0,0.0,-44940.0
3,PUMP,1500.0,2250.0,42.66,56.57,5.22,57.05,-0.4799999999999969,5.699999999999997,-42660.0,0.0,-42660.0
4,PUMP,2250.0,3000.0,41.23,49.51,5.4,57.19,-7.68,13.08,-41230.0,0.0,-41230.0
5,PUMP,3000.0,3750.0,43.04,61.63,5.72,57.69,3.940000000000005,1.779999999999995,-43040.0,0.0,-43040.0
6,PUMP,3750.0,4500.0,50.31,74.97,6.34,58.43,16.54,0.0,-50310.0,0.0,-50310.0
7,PUMP,4500.0,5250.0,55.0,44.57,10.84,59.88,-15.310000000000002,26.150000000000002,-55000.0,0.0,-55000.0
8,PUMP,5250.0,6000.0,65.57,58.2,13.77,61.32,-3.1199999999999974,16.889999999999997,-65570.0,0.0,-65570.0
9,TMNSR,6000.0,6000.0,65.73,41.28,24.71,62.9,-21.619999999999997,46.33,0.0,46330.0,46330.0
10,TMNSR,6000.0,6000.0,68.81,69.42,25.79,61.91,7.510000000000005,18.279999999999994,0.0,18279.999999999993,18279.999999999993
11,IDLE,6000.0,6000.0,85.03,73.21,16.98,55.42,17.789999999999992,0.0,0.0,0.0,0.0
12,IDLE,6000.0,6000.0,126.43,103.42,33.74,57.95,45.47,0.0,0.0,0.0,0.0
13,TMNSR,6000.0,6000.0,174.31,110.4,66.7,68.45,41.95,24.75,0.0,24750.0,24750.0
14,TMNSR,6000.0,6000.0,200.18,128.09,123.88,75.13,52.96000000000001,70.91999999999999,0.0,70919.99999999999,70919.99999999999
15,GENERATE,6000.0,5000.0,300.0,183.69,147.89,82.21,101.48,46.40999999999998,300000.0,0.0,300000.0
16,GENERATE,5000.0,4000.0,343.18,334.4,237.16,91.37,243.02999999999997,0.0,343180.0,0.0,343180.0
17,GENERATE,4000.0,3000.0,418.31,741.3,289.58,99.8,641.5,0.0,418310.0,0.0,418310.0
18,GENERATE,3000.0,2000.0,474.9,1110.22,369.64,109.45,1000.77,0.0,474900.0,0.0,474900.0
19,GENERATE,2000.0,1000.0,407.24,1073.63,429.47,114.39,959.2400000000001,0.0,407240.0,0.0,407240.0
20,GENERATE,1000.0,0.0,315.88,853.4,363.18,116.39,737.01,0.0,315880.0,0.0,315880.0
21,TMNSR,0.0,0.0,187.58,261.93,263.53,110.37,151.56,111.96999999999997,0.0,111969.99999999997,111969.99999999997
22,TMNSR,0.0,0.0,101.91,64.91,159.98,101.76,-36.85000000000001,196.82999999999998,0.0,196829.99999999997,196829.99999999997
23,TMNSR,0.0,0.0,50.79,52.35,73.12,84.89,-32.54,105.66,0.0,105660.0,105660.0
24,TMNSR,0.0,0.0,50.3,57.43,34.52,74.18,-16.750000000000007,51.27000000000001,0.0,51270.00000000001,51270.00000000001
