hour,da_lmp,rt_lmp,tmnsr_price,strike_price
1,48.19,60.59,11.33,62.6
2,44.94,94.02,9.25,59.55
3,42.66,56.57,5.22,57.05
4,41.23,49.51,5.4,57.19
5,43.04,61.63,5.72,57.69
6,50.31,74.97,6.34,58.43
7,55.0,44.57,10.84,59.88
8,65.57,58.2,13.77,61.32
9,65.73,41.28,24.71,62.9
10,68.81,69.42,25.79,61.91
11,85.03,73.21,16.98,55.42
12,126.43,103.42,33.74,57.95
13,174.31,110.4,66.7,68.45
14,200.18,128.09,123.88,75.13
15,300.0,183.69,147.89,82.21
16,343.18,334.4,237.16,91.37
17,418.31,741.3,289.58,99.8
18,474.9,1110.22,369.64,109.45
19,407.24,1073.63,429.47,114.39
20,315.88,853.4,363.18,116.39
21,187.58,261.93,263.53,110.37
22,101.91,64.91,159.98,101.76
23,50.79,52.35,73.12,84.89
24,50.3,57.43,34.52,74.18
